name,main_lang,ms_item,ms_class,obj_desc,sup_desc,early_date,late_date,period,region,settlement,geo_place
Abil 0001,arc,jewish,dedicatory,lintel,stone,70,500,Talmudic,Golan,Abilene,synagogue
Abur 0001,grc,christian,invocation,mosaic,,300,700,Talmudic,Judaea,Bethennim,Church complex
Achz 0001,la,otherreligion,placemarkermilestone,milestonemarker,stone,83,83,Early Roman,Coastal Plain,Achziv,
Aeri 0001,grc,otherreligion,dedicatory,slab,stone,96,169,Roman,Syria,Aerita,
Aeri 0002,grc,otherreligion,dedicatory,slab,stone,96,169,Roman,Syria,Aerita,
Afek 0001,la,unknownreligion,funeraryepitaph,stele,stoneother,70,217,Roman,Coastal Plain,Afek,
Ahma 0001,heb,jewish,prayer,architrave,stone,200,450,Byzantine,Golan,Ahmadiyye,
ahma0002,grc,jewish,textunknown,lintel,stone,250,399,Talmudic,Golan,Ahmadiyye,
Ahma 0003,grc,jewish,placemarkerboundary,boundarymarker,stone,250,399,Roman,Golan,Ahmadiyye,
Akas 0001,grc,jewish,funeraryepitaph,tombstone,,200,500,Roman,Golan,TelAkasha,cemetery
Akas 0002,grc,christian,funeraryepitaph,tombstone,,200,500,Talmudic,Golan,TelAkasha,cemetery
Akko 0001,grc,otherreligion,label,amphorahandle,clay,-245,-235,Early Hellenistic,Coastal Plain,Akko,
Akko 0002,grc,otherreligion,label,amphorahandle,clay,-270,-235,Early Hellenistic,Coastal Plain,Akko,
Akko 0003,grc,otherreligion,label,amphorahandle,clay,-225,-220,Early Hellenistic,Coastal Plain,Akko,
Akko 0004,grc,otherreligion,label,amphorahandle,clay,-230,-225,Early Hellenistic,Coastal Plain,Akko,
Akko 0005,grc,otherreligion,label,amphorahandle,clay,-220,-215,Early Hellenistic,Coastal Plain,Akko,
Akko 0006,grc,otherreligion,label,amphorahandle,clay,-235,-200,Early Hellenistic,Coastal Plain,Akko,
Akko 0007,grc,otherreligion,label,amphorahandle,clay,-220,-215,Early Hellenistic,Coastal Plain,Akko,
Akko 0008,grc,otherreligion,label,amphorahandle,clay,-210,-205,Early Hellenistic,Coastal Plain,Akko,
Akko 0009,grc,otherreligion,label,amphorahandle,clay,-235,-200,Early Hellenistic,Coastal Plain,Akko,
Akko 0010,grc,otherreligion,label,amphorahandle,clay,-205,-200,Early Hellenistic,Coastal Plain,Akko,
Akko 0011,grc,otherreligion,label,amphorahandle,clay,-225,-175,Early Hellenistic,Coastal Plain,Akko,
Akko 0012,grc,otherreligion,label,amphorahandle,clay,-225,-175,Early Hellenistic,Coastal Plain,Akko,
Akko 0013,grc,otherreligion,label,amphorahandle,clay,-200,-175,Early Hellenistic,Coastal Plain,Akko,
Akko 0014,grc,otherreligion,label,amphorahandle,clay,-200,-175,Early Hellenistic,Coastal Plain,Akko,
Akko 0015,grc,otherreligion,label,amphorahandle,clay,-185,-160,Hellenistic,Coastal Plain,Akko,
Akko 0016,grc,otherreligion,label,amphorahandle,clay,-170,-165,Hellenistic,Coastal Plain,Akko,
Akko 0017,grc,otherreligion,label,amphorahandle,clay,-200,-125,Hellenistic,Coastal Plain,Akko,
Akko 0018,grc,otherreligion,label,amphorahandle,clay,-175,-170,Hellenistic,Coastal Plain,Akko,
Akko 0019,grc,otherreligion,label,amphorahandle,clay,-155,-145,Hellenistic,Coastal Plain,Akko,
Akko 0020,grc,otherreligion,label,amphorahandle,clay,-145,-135,Hellenistic,Coastal Plain,Akko,
Akko 0021,grc,otherreligion,label,amphorahandle,clay,-145,-135,Hellenistic,Coastal Plain,Akko,
Akko 0022,grc,otherreligion,label,amphorahandle,clay,-150,-100,Hellenistic,Coastal Plain,Akko,
Akko 0023,grc,otherreligion,label,amphorahandle,clay,-150,-100,Hellenistic,Coastal Plain,Akko,
Akko 0024,grc,otherreligion,label,amphorahandle,clay,-300,-200,Early Hellenistic,Coastal Plain,Akko,
Akko 0025,grc,otherreligion,label,amphorahandle,clay,-300,-200,Early Hellenistic,Coastal Plain,Akko,
Akko 0026,grc,otherreligion,dedicatory,tablet,limestone,-199,-100,,Coastal Plain,Akko,Kafr Yassif
Akko 0027,arc,otherreligion,dedicatoryoffering,ostrakon,clay,-500,-450,Persian,Coastal Plain,Akko,
Akko 0028,grc,otherreligion,label,amphorahandle,clay,-300,-266,Early Hellenistic,Coastal Plain,Akko,Area W
Akko 0029,grc,otherreligion,label,amphorahandle,clay,-300,-266,Early Hellenistic,Coastal Plain,Akko,Area W
Akko 0030,grc,otherreligion,label,amphorahandle,clay,-280,-266,Early Hellenistic,Coastal Plain,Akko,Area W
Akko 0031,grc,otherreligion,label,amphorahandle,clay,-243,-235,Early Hellenistic,Coastal Plain,Akko,Area W
Akko 0032,grc,otherreligion,label,amphorahandle,clay,-235,-230,Early Hellenistic,Coastal Plain,Akko,Area W
Akko 0033,grc,otherreligion,label,amphorahandle,clay,-235,-200,Early Hellenistic,Coastal Plain,Akko,Area W
Akko 0034,grc,otherreligion,label,amphorahandle,clay,-225,-225,Early Hellenistic,Coastal Plain,Akko,Area W
Akko 0035,grc,otherreligion,label,amphorahandle,clay,-225,-225,Early Hellenistic,Coastal Plain,Akko,Area W
Akko 0036,grc,otherreligion,label,amphorahandle,clay,-225,-215,Early Hellenistic,Coastal Plain,Akko,Area W
Akko 0037,grc,otherreligion,label,amphorahandle,clay,-210,-210,Early Hellenistic,Coastal Plain,Akko,Area W
Akko 0038,grc,otherreligion,label,amphorahandle,clay,-210,-205,Early Hellenistic,Coastal Plain,Akko,Area W
Akko 0039,grc,otherreligion,label,amphorahandle,clay,-200,-180,Early Hellenistic,Coastal Plain,Akko,Area W
Akko 0040,grc,otherreligion,label,amphorahandle,clay,-200,-175,Early Hellenistic,Coastal Plain,Akko,Area W
Akko 0041,grc,otherreligion,label,amphorahandle,clay,-165,-160,Hellenistic,Coastal Plain,Akko,Area W
Akko 0042,grc,otherreligion,label,amphorahandle,clay,-152,-146,Hellenistic,Coastal Plain,Akko,Area W
Akko 0100,phn,otherreligion,textother,ostrakon,clay,-520,-330,Persian,Coastal Plain,Akko,
Akld 0001,grc,jewish,funeraryepitaph,ossuary,limestone,1,100,Early Roman,Judaea,Jerusalem,Akeldama 
Akld 0002,grc,jewish,funerary,ossuary,limestone,1,100,Early Roman,Judaea,Jerusalem,Akeldama
Akld 0003,grc,jewish,funerary,ossuary,limestone,1,100,Early Roman,Judaea,Jerusalem,Akeldama
Akld0004,grc,jewish,funerary,ossuary,limestone,1,100,Early Roman,Judaea,Jerusalem,Akeldama
